%lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 otherL3 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  portSrcTCP portDstTCP portSrcUDP portDstUDP ipPortSrc ipPortDst tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP othersL4 flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows
72000101 51820 44668629 38.602910522658846 40.256341049244014 874.0185685215622 688.9102754165799 2606 1805 51820 51419 401 195 401 1070 2551 2517 2485 2438 2398 2372 2338 2308 2276 2232 2180 2119 2041 1938 1800 1258 1080 910 722 528 360 228 129 68 36 20 12 8 5 4 42111 7202 841 1965 42109 977 7202 51820 51820 1091 660 223 5505 3268 1223 1014 12.885862913096695 61.98831176595822 5.888798037612428 23.70936727295892 2.472386587771203 23.068566863165028 7.080138581028152E7 628152.656403113 7.082796115862633E7 606177.5158906357 7.099029679980277E7 596981.8426668126 12776.872053872054 88711.69036020242 2149.925592804579 17765.29198154923 379.05979643765903 2183.1382327413435 3266 18161 1074 13722 708 47 7
74000039 52863 45481072 37.837615407900714 40.280383431517144 869.3135572163077 696.1307186210253 2694 1752 52863 52613 250 193 250 1105 2631 2585 2544 2508 2473 2448 2403 2376 2345 2309 2252 2195 2116 2008 1865 1244 1070 918 726 548 375 232 131 69 37 21 13 9 6 5 42920 7548 847 1942 42918 1028 7548 52863 52863 1100 613 333 5602 3314 1281 1007 12.951116475558237 69.61426828476455 5.892271662763466 24.137179512456495 2.378351539225422 21.11915878827867 7.278638353741702E7 617510.4656601107 7.284479630601093E7 587653.1495447214 7.298702250248262E7 581725.7437965818 12821.59855116209 100482.02772638516 2109.8977361436378 20006.20212536288 368.72671568627453 2385.465892034263 3370 19054 1100 13008 791 11 5
76000019 54161 47426771 36.93077278182993 38.30495476563641 884.0787011147149 694.4261151645368 2660 1737 54161 53944 217 189 217 1103 2600 2571 2529 2491 2454 2432 2386 2347 2304 2262 2217 2168 2085 1979 1853 1267 1111 944 751 566 388 234 132 68 36 20 12 8 5 4 44343 7354 955 1951 44341 1053 7354 54161 54161 1208 577 364 5607 3297 1314 996 13.449499545040947 64.86404437244583 5.596651445966515 22.759044901088036 2.4738955823293174 21.2002074324928 7.479695601971489E7 614415.0198275839 7.482284153881279E7 605276.0938815216 7.497571683032128E7 593395.9959977246 13502.907463592233 93416.82758547847 1980.662100456621 17019.74371157246 391.54969325153377 2524.112034352515 3323 19606 1076 14831 818 20 5
78000091 53266 46976392 37.55382188925815 41.83560988191495 891.0479125964986 683.5235454388162 2542 1747 53266 52993 273 200 273 1138 2495 2458 2419 2382 2353 2333 2295 2260 2226 2188 2132 2081 2004 1905 1771 1277 1104 918 712 541 370 233 131 68 36 20 12 8 5 4 43269 7656 730 1880 43267 937 7656 53266 53266 1149 535 357 5369 3180 1172 1017 13.606603773584906 78.5388058551773 6.532423208191126 27.656196190244792 2.3018682399213373 21.043804105930345 7.681340884308176E7 626589.2513738066 7.681560415017065E7 599553.0878727135 7.695789548082596E7 568074.9141191683 13695.886127713118 109709.1692645593 2726.7380546075087 25866.869253189572 285.68831168831167 1063.4609323635345 3209 20311 1024 13323 741 15 8
80000083 46955 39412774 42.6003237624606 46.46181443100906 851.3356013478486 695.260826338394 2993 1689 46955 46681 274 363 274 1093 2792 2719 2663 2619 2579 2548 2517 2488 2451 2407 2368 2308 2234 2124 1980 1260 1105 936 747 565 381 234 130 68 36 20 12 8 5 4 37286 7128 811 1801 37284 982 7128 46955 46955 958 529 318 5754 2983 1514 1257 12.49949715051961 58.4820300412634 4.708058124174372 19.916818434151818 2.0214797136038185 19.199409961763738 7.879961863593698E7 620177.0369257892 7.89388107318362E7 610872.9492138643 7.903573944152744E7 574531.3813108491 12390.24949698189 84707.07465778252 1470.832892998679 12899.206589785705 246.50980392156862 982.6541515866846 3666 15947 938 11944 710 35 12
82000024 48145 39947445 41.54262390428316 42.54074968376418 843.3945023856775 693.278127515178 2734 1643 48145 47802 343 227 343 1093 2674 2633 2590 2555 2516 2491 2453 2430 2387 2339 2285 2223 2144 2041 1897 1215 1076 913 731 534 358 232 129 68 36 20 12 8 5 4 38510 7050 922 1864 38507 1010 7050 48145 48145 1315 713 330 5860 3420 1286 1154 11.260233918128655 53.07097201084071 5.482115085536547 22.633498893492845 2.2400346620450606 20.828173826734606 8.083633950877193E7 608104.8240476937 8.086554589891136E7 593851.4765323639 8.098502791334489E7 577429.2771820272 10858.6727113191 76162.6049702922 1989.1531881804044 18455.679608442675 316.23325358851673 1433.8313423069737 3439 14897 1225 14417 780 53 12
84000101 45901 37864647 43.57662643252429 44.932035525475484 836.3395472114854 699.3438116802026 2686 1703 45901 45620 281 245 281 1134 2627 2591 2549 2507 2464 2440 2401 2375 2341 2293 2245 2192 2114 2008 1868 1225 1068 902 711 545 372 232 133 70 38 22 14 10 7 6 36241 7177 823 1908 36239 1039 7177 45901 45901 1052 739 273 5664 3267 1306 1091 11.093051729415366 54.783269449442756 5.495405819295559 22.952594464445863 2.2758936755270396 20.652797352823466 8.278777924854606E7 611504.9224669904 8.282847718376723E7 580493.8050671112 8.294717699541704E7 575850.9250820011 10667.412431108389 77725.66776907223 2130.1969348659004 20885.985246468714 280.36187214611874 1051.9597752392726 3380 14082 1170 13914 718 68 6
86000012 52495 46438865 38.10238530711782 39.324517497628335 894.7009921972835 687.055974046426 2564 1835 52495 52249 246 176 246 1130 2513 2481 2439 2413 2377 2354 2321 2292 2247 2195 2141 2096 2037 1940 1808 1315 1147 964 746 557 373 228 127 68 36 20 12 8 5 4 43199 6868 876 2040 43197 950 6868 52495 52495 1374 641 318 5637 3420 1169 1048 12.631286549707601 133.3810725939621 5.875106928999145 22.485733524773753 2.316793893129771 20.756816226178046 8.483016344327486E7 603527.3565225196 8.483809127373824E7 593590.6689639288 8.496375739122137E7 566518.748461918 12739.078093009652 192521.60364092072 2259.5205479452056 19749.595597624062 297.1271186440678 1132.814541623776 3277 14429 1110 13394 818 15 5
88000041 52162 45948285 38.345661260017636 39.17523833094034 892.5942927075644 684.3419274559983 2597 1810 52162 51889 273 210 273 1126 2543 2519 2482 2444 2410 2386 2346 2316 2273 2230 2182 2133 2060 1960 1821 1271 1105 921 702 531 363 231 131 69 37 21 13 9 6 5 42856 6852 845 2000 42854 962 6852 52162 52162 1108 578 269 5663 3325 1179 1159 12.889022556390977 64.00411405949896 5.811704834605598 21.669543751041154 2.117342536669543 20.06916427298477 8.678983580180451E7 627449.4436923937 8.681473872094996E7 591732.9831672842 8.699353536928387E7 560419.3710335712 13143.913056558364 91435.8312776886 1716.7404580152672 12331.287746460428 282.26835138387486 1059.6173974038302 3451 19193 1023 14906 791 18 4
90000032 44162 35990785 45.29391249207356 48.86339295732285 824.0325571811251 685.7372238807473 2532 1844 44162 43977 185 162 185 1060 2476 2441 2406 2370 2339 2324 2291 2265 2232 2197 2154 2108 2034 1927 1794 1263 1090 919 725 546 367 230 132 68 36 20 12 8 5 4 34839 7174 742 1960 34837 942 7174 44162 44162 1157 469 318 5371 3134 1210 1027 11.116464582003829 55.254666543708446 5.928925619834711 24.681140121273785 2.092502434274586 19.890204955318005 8.879947222495213E7 612517.0940078234 8.887115702644628E7 607763.5211855195 8.89772664245375E7 565932.550604652 10472.988509415894 79254.49934740723 2430.0677685950413 23022.30465226392 316.99602122015915 1140.1415357250216 3342 14697 879 12012 724 60 10
92000014 43399 33027559 46.090106699237204 50.8749716287849 771.8845731379561 692.1565695512847 2593 1937 43399 43055 344 153 344 1090 2535 2509 2473 2441 2400 2370 2328 2304 2265 2216 2179 2127 2064 1966 1824 1295 1104 924 735 546 368 234 132 69 37 21 13 9 6 5 33914 7164 734 2104 33912 937 7164 43399 43399 1345 476 341 5564 3367 1198 999 10.072468072468073 53.3407825705537 5.979966611018364 24.39411037597105 2.3233233233233235 22.5128591882246 9.08395699082269E7 613535.1344368249 9.085996262687813E7 610254.7275021482 9.097826631331332E7 575150.6052113951 9026.299465240641 75350.42048739642 2008.9140233722871 16766.211711114207 312.37385620915035 1155.7823058699641 3528 14387 928 10395 694 25 11
94000012 45379 33909152 44.07717906336088 48.163079489327885 760.4830903790088 707.6143081863407 2618 2025 45379 45035 344 176 344 1144 2563 2531 2494 2460 2420 2404 2364 2335 2303 2259 2218 2164 2094 1970 1838 1318 1119 936 729 544 373 231 132 70 38 22 14 10 7 6 35156 7548 1011 2280 35154 1020 7548 45379 45379 1462 511 312 5825 3450 1278 1097 10.190144927536231 43.90863372893797 5.906103286384977 25.130613419282486 2.438468550592525 23.384912821635204 9.281992920927536E7 598593.4258500942 9.282701838732395E7 584498.2675536729 9.301171012123975E7 605557.7949312255 8892.18527109307 61422.11146754589 2342.4890453834114 21391.48089684522 315.16964285714283 1286.2841901606125 3560 12924 885 10961 788 31 10
96000014 43424 32865212 46.06405177576121 49.565481925225875 769.6038168832689 709.7607063963333 2633 1842 43424 43142 282 161 282 1273 2562 2518 2480 2445 2408 2377 2338 2303 2259 2214 2167 2106 2044 1930 1796 1234 1060 893 713 531 364 224 128 68 36 20 12 8 5 4 33983 6818 907 2022 33980 990 6818 43424 43424 1280 589 290 5648 3323 1251 1074 10.226602467649714 42.851421884323464 5.450039968025579 21.044051850947234 2.4422718808193666 26.083949844273675 9.48117471116461E7 621513.762696783 9.485940843085532E7 593661.100138592 9.499939182309125E7 595745.112886437 9093.48284166165 58890.79490236986 1926.3597122302158 15018.9568623062 320.6023316062176 1421.1487558554277 3405 11556 1055 11703 700 27 5
98000030 46460 36975456 43.050971866457154 47.15960071730159 805.8237806738439 710.3117004426506 2550 1812 46460 46273 187 193 187 1268 2501 2473 2436 2402 2370 2352 2312 2278 2235 2196 2154 2097 2018 1906 1767 1204 1025 863 692 521 361 222 129 68 37 21 13 9 6 5 36778 7163 871 2069 36776 986 7163 46460 46460 1262 585 280 5601 3361 1207 1033 10.942576614102945 51.71395589351583 5.934548467274234 24.09885399510487 2.4385285575992257 25.770827064522884 9.683993589229396E7 628697.3163670548 9.687355931814416E7 614685.7674025884 9.696167011229429E7 578042.9868750706 10150.677976190476 72164.62138193422 2170.950289975145 19168.642731680655 318.53767560664113 1430.0433394641748 3375 15365 1006 11366 822 33 6
100000037 44036 33766818 45.42176144622093 50.51898194981406 777.3883325275687 714.0699477487298 2646 1769 44036 43817 219 200 219 1299 2600 2576 2546 2510 2465 2434 2397 2358 2319 2269 2221 2162 2090 1980 1836 1209 1047 889 703 526 374 228 127 68 36 20 12 8 5 4 34252 7206 860 1973 34250 989 7206 44036 44036 1089 497 367 5465 3191 1232 1042 10.733939204011282 49.434638194922236 5.849025974025974 24.434962044780633 2.474088291746641 26.180167142924773 9.878042365872768E7 613341.3337655077 9.882889468344156E7 610700.4919592376 9.898306837428023E7 585536.0420671966 9665.345454545455 68978.16244167494 2176.7686688311687 20537.726460462287 313.7372986369269 1489.0241675336838 3341 13575 989 10350 738 48 12
102000001 49676 38902164 40.263488484458044 44.42271759608316 795.7077785277454 709.7734686917556 2598 1848 49676 49250 426 216 426 1346 2537 2507 2477 2443 2402 2378 2345 2321 2288 2242 2193 2133 2050 1951 1821 1271 1101 922 729 551 372 235 129 68 36 20 12 8 5 4 40089 6780 819 2091 40086 976 6780 49676 49676 1241 542 297 5551 3284 1206 1061 12.207369062119367 58.51812184830322 5.621890547263682 22.291581229203455 2.645617342130066 27.740517055782302 1.0083310692417783E8 629286.3522206106 1.0087488019071311E8 611501.7884871495 1.0100658896701226E8 589930.3405594344 11087.12214438014 79997.14555762192 1856.4369817578772 16535.987498400682 321.6796116504854 1420.952681498667 3288 18015 927 10922 758 32 6
104000009 44979 32184708 44.468405371753825 50.342111348518955 728.145445907425 715.4481085275552 2593 1768 44979 44672 307 184 307 1276 2531 2502 2468 2434 2405 2385 2334 2308 2272 2216 2162 2099 2025 1916 1795 1259 1094 928 741 553 376 241 134 69 37 21 13 9 6 5 35242 7076 894 1948 35239 982 7076 44979 44979 1072 508 242 5429 3106 1215 1108 11.346426271732131 55.3801967716108 5.8238683127572015 23.5731939552329 2.401624548736462 25.823023058030902 1.0279119833676754E8 625823.0784404337 1.0285014587242799E8 603503.3846554884 1.0296443365162455E8 568212.2264270101 9503.516908212561 67221.4950969426 2003.1843621399178 15920.906590731003 303.6154806491885 1378.5750586238223 3284 15631 919 9517 738 33 11
106000041 49079 38457152 40.75383079305567 45.785284995428846 793.647439998349 714.6904945950888 2680 1583 49079 48891 188 175 188 1269 2605 2568 2527 2486 2459 2428 2397 2366 2337 2294 2249 2192 2112 2008 1865 1143 1003 857 694 534 373 241 132 69 37 21 13 9 6 5 39720 6813 914 1877 39717 941 6813 49079 49079 1036 577 347 5397 3162 1144 1091 12.561669829222012 63.06594492461571 5.955419580419581 23.608642633429966 2.333638863428048 24.92353107941458 1.0479789791682479E8 611457.1256375965 1.0484667937587413E8 601809.0809375696 1.0500050532538955E8 572194.7385833365 11271.281872825055 83598.97075078139 2255.7054195804194 19925.810996494147 304.06479217603913 1409.513784971417 3162 19351 1043 9506 759 34 10
108000005 48806 36698693 40.97955085648717 46.10612110921281 760.6061968911918 713.0938118781147 2553 1587 48806 48589 217 164 217 1254 2493 2463 2432 2404 2375 2354 2323 2298 2268 2228 2190 2145 2064 1973 1831 1143 999 855 684 512 353 226 131 70 38 22 14 10 7 6 39472 6895 804 1747 39470 968 6895 48806 48806 942 473 266 5169 2985 1186 998 13.223450586264656 76.96314243280564 5.813659359190557 22.55459929614758 2.443887775551102 26.155577387182905 1.0679190307839195E8 611592.6636974751 1.068315167841484E8 607497.0751939426 1.0696199017234468E8 568416.8061881927 11547.202412868633 99128.49328204259 1682.0446880269815 13347.708123971392 316.0817369093231 1415.458101116146 3111 20668 995 9459 744 36 10
110000080 49776 37443282 40.18657825999598 45.38144452674171 761.4259394826745 712.3383840004122 2506 1656 49776 49533 243 181 243 1282 2453 2432 2403 2373 2342 2323 2288 2258 2222 2177 2127 2067 1992 1898 1766 1219 1077 914 742 561 380 241 132 69 37 21 13 9 6 5 40072 7207 791 1869 40069 948 7206 49776 49776 1063 504 283 5207 2984 1190 1033 13.428954423592494 81.16058908016342 6.056302521008403 24.16202312192706 2.4172313649564376 26.186740953056713 1.0882759287466487E8 608757.078108579 1.0880480695630252E8 603878.3590707728 1.0900771107066795E8 580862.9314096087 11667.743211532015 104661.31870592957 2017.5723905723905 17864.08293910019 299.66336633663366 1375.4819785323714 3083 19037 877 10171 779 39 6
112000004 47805 35448990 41.84135319469434 47.611980929845124 753.1598325826463 708.2377674290489 2510 1708 47805 47443 362 177 362 1224 2453 2418 2380 2347 2321 2304 2270 2240 2208 2173 2123 2063 1992 1881 1752 1233 1077 920 736 561 392 240 132 69 37 21 13 9 6 5 38102 7127 813 2032 38099 927 7126 47805 47805 1133 692 294 5424 3244 1151 1029 11.74537607891492 63.28979645557734 6.192006950477845 25.420905084025847 2.503401360544218 27.172218276470176 1.1080154680641183E8 612670.053477906 1.1081253338922676E8 596797.3046647703 1.1097712373955296E8 577944.101674533 10044.241134751774 81864.26529799464 2291.2458731537795 20688.2959772902 310.83094928478545 1398.5927945408137 3190 16620 1035 11187 765 6 6
114000116 43565 30436991 45.91643709825528 51.27237087060026 710.1323783304559 712.724614974557 2564 1663 43565 43253 312 172 312 1246 2515 2487 2455 2427 2401 2385 2351 2326 2286 2231 2195 2138 2062 1950 1823 1172 1026 881 706 541 383 239 133 70 38 22 14 10 7 6 34046 6924 865 1842 34044 973 6923 43565 43565 1093 449 488 5243 2984 1218 1041 11.409517426273458 59.7322415756023 5.684729064039409 23.91173218235331 2.4927953890489913 26.449651298163243 1.1278349931501341E8 614987.0131600857 1.1279787512889984E8 586154.3731876224 1.1297064407877041E8 577954.9269302795 9249.892725444184 75954.67761079258 2127.803776683087 22101.445580577565 318.19196988707654 1390.713637518856 3177 13162 906 10966 678 6 5
116000043 45437 33655198 44.015383938200145 51.46150958502816 750.5082285255553 716.0259376021664 2567 1782 45437 45218 219 173 219 1250 2515 2476 2439 2400 2368 2343 2308 2277 2248 2210 2156 2106 2032 1935 1824 1194 1023 867 699 532 374 233 129 68 36 20 12 8 5 4 36693 6248 854 2040 36691 942 6248 45437 45437 1267 510 320 5434 3240 1170 1024 11.325 69.87332232575969 5.34017094017094 21.033225648877092 2.4375 26.238483336742238 1.1481532975401235E8 604951.2628855595 1.1483626317863248E8 581519.1917096865 1.1495331605859375E8 588686.3759134397 9667.700833590614 91795.61125393795 1790.3478632478632 16937.447785670298 313.96065989847716 1450.2776685827607 3286 17373 1000 9153 790 12 9
118000011 50783 40948620 39.3906406948575 44.24683740883886 815.8025301324833 705.4960619420061 2660 1884 50783 50566 217 209 217 1249 2600 2576 2544 2516 2488 2467 2431 2405 2374 2332 2288 2221 2132 2042 1914 1270 1084 907 714 530 367 225 132 69 37 21 13 9 6 5 41744 6566 798 2094 41741 994 6565 50783 50783 1382 531 383 5704 3398 1213 1093 12.284873454973514 74.10732438012089 5.413025556471558 20.93356980068533 2.262580054894785 25.193087827635228 1.1681875623454973E8 614925.871785829 1.1686169770403957E8 584379.1031376348 1.1697875306495883E8 579878.4565045898 11315.447159258169 104701.58569608371 1869.926628194559 17392.221280884874 292.768115942029 1356.461747423134 3397 20436 1113 10567 699 243 7
120000055 52314 43580091 38.2360250822054 41.59865704504612 841.7474214856878 702.8352184024588 2682 1906 52314 52126 188 182 188 1291 2618 2583 2548 2514 2476 2452 2410 2375 2333 2285 2226 2165 2092 1975 1829 1289 1102 913 736 550 364 228 129 68 36 20 12 8 5 4 43770 6094 789 2146 43768 975 6094 52314 52314 1298 650 259 5711 3429 1203 1079 12.764654418197726 80.25176554713602 5.065669160432253 19.67284375426907 2.2706209453197403 24.917956201139184 1.187913073802858E8 620689.9768093178 1.1883246324023275E8 610527.0415362595 1.1895105055329008E8 583218.3862222955 11999.137689614936 112578.30531642551 1828.563227953411 15156.083362608651 301.5144927536232 1345.2835571112198 3417 19642 1055 12551 786 1250 7
122000020 52760 40674558 37.91718803321579 41.67373200628776 794.0982566425239 711.1315660484503 2707 1828 52760 52390 370 163 370 1398 2651 2615 2578 2539 2504 2474 2432 2400 2356 2303 2247 2180 2102 1986 1832 1232 1064 899 723 541 361 225 131 69 37 21 13 9 6 5 43074 6873 882 2034 43072 987 6873 52760 52760 1273 565 235 5692 3314 1215 1163 12.997585998793 86.62433548309475 5.6567901234567906 22.899116736789278 2.4187446259673258 25.888609857972906 1.2079514977157514E8 605972.933293686 1.2084383673662551E8 591014.7212986348 1.2099938338950989E8 570274.4439526302 11537.87009063444 119533.32787058434 1835.4139917695472 16806.75354251032 287.9695945945946 1341.4418704016462 3551 19244 1026 11448 729 1280 12
124000080 49501 38856417 40.40778228983575 43.487423113454646 796.0237636743557 705.8173406828804 2606 1714 49501 49189 312 182 312 1318 2557 2523 2486 2455 2422 2396 2357 2327 2293 2247 2205 2149 2067 1970 1819 1194 1031 874 690 534 366 224 126 68 37 21 13 9 6 5 39965 6937 787 1857 39963 972 6937 49501 49501 1078 500 249 5372 3080 1214 1078 12.97564935064935 71.61744735910214 5.714168039538715 23.71503322070156 2.410946196660482 26.238311294590524 1.2279238237045455E8 620572.8413563657 1.2283048335420099E8 593164.8065464632 1.2296362505102041E8 591957.4575140263 11723.737731556712 98095.0784918857 2084.999176276771 22085.293224874003 291.6365740740741 1353.9641840071229 3266 16515 964 12327 740 408 13
126000008 48156 35776677 41.53460987310751 47.04877330858676 761.5225192626964 712.596339747044 2562 1840 48156 47974 182 181 182 1298 2515 2485 2451 2421 2389 2364 2329 2299 2267 2222 2169 2117 2044 1951 1825 1295 1122 934 736 540 363 221 129 68 36 20 12 8 5 4 38842 6813 840 1932 38840 924 6813 48156 48156 1252 478 347 5352 3174 1115 1063 12.237555135475741 69.79004881552669 6.110313901345291 23.27865898469155 2.3527751646284103 25.24981487968055 1.2481663974858223E8 636304.0233448985 1.248253890457399E8 613797.0218673088 1.2499125806020696E8 595780.3149615999 10528.099337748345 89371.05709041675 1925.310592459605 15483.690470497528 296.1287246722288 1363.5718794989102 3272 16758 979 11163 678 456 9
128000104 48078 35633094 41.60283717447375 46.019895575187306 749.7716197449816 711.2552492782664 2689 1828 48078 47837 241 173 241 1248 2621 2588 2550 2509 2479 2457 2415 2377 2341 2304 2269 2208 2125 2020 1869 1299 1118 935 727 530 368 231 131 69 37 21 13 9 6 5 38726 6940 750 2143 38724 964 6940 48078 48078 1156 576 314 5541 3374 1168 999 11.477771191464138 62.25418762383948 5.941780821917808 22.04329099935379 2.4144144144144146 26.028455207339533 1.2677230117575578E8 599662.5249072007 1.2683145515068494E8 599379.3698354068 1.2699027116816817E8 573768.2099562421 9900.059887340647 85557.61683227844 1710.6729452054794 12944.695516619131 300.3440594059406 1359.6861342469322 3421 15542 926 11541 818 89 9
130000027 50167 39198181 39.87266238685753 42.55981663430251 789.4367825351432 710.8556697245953 2594 1637 50167 49980 187 215 187 1261 2535 2510 2476 2437 2407 2383 2347 2320 2285 2242 2201 2144 2068 1957 1818 1193 1045 872 692 527 355 230 130 68 36 20 12 8 5 4 40750 6943 811 1883 40748 966 6943 50167 50167 1065 458 266 5298 3088 1176 1034 13.196243523316062 73.32353865740198 5.90391156462585 22.682498722568457 2.392649903288201 25.75977026340124 1.2880732675874352E8 626845.8673358954 1.2886102480272108E8 615049.3195079422 1.2895714522920696E8 581847.4887618225 11872.30515063168 97014.88134611069 1949.8818027210884 17765.625150572276 306.0131578947368 1452.5837432315145 3219 17677 897 12907 756 21 8
132000012 46491 35317046 43.02544961707254 46.316962957087284 772.1086747409383 707.5523026501486 2703 1648 46491 46149 342 200 342 1293 2651 2619 2584 2545 2508 2487 2441 2408 2377 2332 2291 2233 2132 2021 1873 1205 1052 897 706 535 370 234 131 69 37 21 13 9 6 5 36964 6820 872 1838 36962 937 6820 46491 46491 1046 492 288 5424 3106 1137 1181 11.900837089504185 67.23015509445496 5.998240985048373 23.045727172235154 2.292125317527519 25.288127960554238 1.3080625296716033E8 605999.7090632976 1.3079730960070361E8 586028.1094891757 1.3106889143607113E8 586217.9798496922 10492.622866344605 89112.81970913456 2187.3597185576077 20818.191362845446 290.3734104046243 1343.2816808057942 3347 14568 929 12564 752 31 10
134000040 48854 31422344 40.94403046184081 43.433233008955476 653.0149210307565 709.0719647283746 2630 1727 48854 48541 313 190 313 1245 2584 2556 2525 2498 2467 2441 2407 2381 2350 2309 2259 2200 2127 2020 1870 1291 1139 963 756 553 365 231 129 69 37 21 13 9 6 5 39386 6760 960 1880 39383 983 6760 48854 48854 1058 425 318 5329 3000 1220 1109 13.128666666666666 108.17067224221792 5.540983606557377 22.571997739837144 2.4418394950405773 25.84989966894455 1.3284866959366667E8 633177.8033713303 1.3282202050163935E8 591185.8245195705 1.3292889938593328E8 568931.8190045642 9533.987995998667 86527.872644787 2110.306557377049 21209.42834077861 320.0925 1468.8160597910141 3339 18403 829 11825 721 22 11
136000006 48949 34944421 40.864206611907974 45.19741340765182 731.6613207152129 713.0606289324061 2538 1698 48949 48638 311 197 311 1238 2494 2458 2427 2400 2374 2345 2309 2281 2250 2203 2161 2115 2042 1942 1815 1252 1101 936 725 536 358 225 129 68 36 20 12 8 5 4 39428 6859 916 1802 39426 954 6859 48949 48949 1069 497 272 5232 2908 1183 1141 13.558459422283356 74.88917304483842 5.797971259509721 23.762241584195365 2.3330411919368976 25.399886823710812 1.3478662786210454E8 609703.0769739187 1.3486110492561284E8 610907.752282888 1.3495000927344435E8 565507.2024443831 11069.328630419821 80364.85668116616 2122.6289095519865 21738.967593520207 333.4194756554307 1607.4845545163844 3210 16333 823 12162 741 29 6
138000024 44516 32596282 44.9321980589504 50.06088717266942 743.6456631838299 706.464952793149 2680 1591 44516 44331 185 200 185 1214 2619 2580 2538 2505 2465 2444 2395 2363 2319 2279 2243 2177 2096 1988 1847 1172 1023 878 689 519 358 227 130 68 36 20 12 8 5 4 34757 7156 1004 1838 34755 993 7156 44516 44516 947 578 314 5443 3055 1232 1156 11.37708674304419 55.672831409220386 5.808441558441558 23.32276353053597 2.2517301038062283 24.342584470123978 1.368481571309329E8 652961.756100717 1.368583727159091E8 610725.7591909405 1.3701353282785466E8 561057.7439103066 9704.172888015717 71687.55720812074 2189.779041429732 21984.52868297778 342.12144702842374 1621.2055424444839 3356 13282 1075 11567 713 49 9
140000181 42432 29300493 47.14020740042423 52.44999054686971 700.7823830479289 706.7128166813217 2652 1800 42432 42274 158 196 155 1248 2595 2562 2520 2479 2443 2416 2376 2347 2313 2267 2221 2164 2092 1987 1867 1251 1089 920 725 549 379 241 131 68 36 20 12 8 5 4 33159 6745 929 2043 33154 966 6745 42432 42432 1240 452 295 5646 3299 1198 1149 10.05122764474083 48.6249137484225 5.630217028380635 25.257753070102066 2.2001740644038295 24.14074267538304 1.388233451079115E8 615650.626765446 1.3881812944991654E8 616157.7851037935 1.3898799478503045E8 565831.5444451545 7989.306549423894 63996.24533014633 2259.2654424040065 24702.235773464847 303.0579531442663 1374.636715151916 3511 12441 1059 11129 799 14 7
142000057 45794 33429626 43.677965361347105 49.17984253076034 743.9742962056304 706.9765765440233 2785 1728 45794 45476 318 165 312 1277 2722 2683 2642 2604 2563 2536 2488 2467 2431 2382 2328 2263 2174 2065 1927 1217 1062 896 708 532 359 227 132 68 36 20 12 8 5 4 36477 6560 1003 1955 36468 989 6560 45794 45794 1151 504 313 5707 3238 1210 1259 11.265287214329833 56.14664411574534 5.421487603305785 20.614966880985577 2.1898332009531374 24.34989516933788 1.4080129704385424E8 630891.0900498367 1.408262604355372E8 604488.5598148608 1.4097390693089753E8 573501.6400035128 9566.397281433427 74749.59939866597 1834.9338842975208 15255.583365546547 300.2302955665025 1402.3561133746348 3508 15241 987 11216 773 79 12
144000358 45324 32240758 44.135364723533826 48.22125712365987 724.7093214052912 705.9828923395476 2704 1981 45324 44968 356 183 356 1241 2642 2608 2565 2532 2491 2463 2432 2399 2368 2324 2277 2219 2144 2040 1893 1299 1104 924 732 548 370 235 133 69 37 21 13 9 6 5 35640 7003 901 2195 35638 1019 7003 45324 45324 1350 540 282 5767 3343 1252 1172 10.66108285970685 48.9869707414428 5.593450479233227 21.597131805784343 2.287542662116041 25.84465603821781 1.42775003975172E8 611924.1234124283 1.4283735661741215E8 593679.4466182505 1.4296069355119455E8 560657.5396202425 8846.36684619988 63459.7387399723 1946.55910543131 16144.106827310003 303.7253164556962 1395.9455567708771 3579 12425 871 11276 741 75 12
